time, episodes, frames, mean-epr, run-loss
00h-25m-00s, 12729, 4720000, 11.52, -5.81
00h-25m-13s, 12747, 4730000, 11.35, -6.05
00h-25m-24s, 12759, 4740000, 11.37, -6.04
00h-25m-37s, 12775, 4750000, 11.34, -6.38
00h-25m-49s, 12785, 4760000, 11.69, -5.78
00h-26m-01s, 12802, 4770000, 11.65, -5.98
00h-26m-13s, 12817, 4780000, 11.62, -5.74
00h-26m-24s, 12828, 4790000, 11.45, -6.39
00h-26m-37s, 12845, 4800000, 11.77, -5.61
00h-26m-49s, 12859, 4810000, 11.61, -6.62
00h-27m-01s, 12874, 4820000, 11.64, -6.44
00h-27m-14s, 12888, 4830000, 11.74, -6.61
